DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2013,713.4,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2014,753.2,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2015,826.3,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2016,936.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2017,976.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2018,1056.3,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2019,1109.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2020,1061.2,b,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2021,960.7,b,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2022,1105.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2023,1109.6,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2024,1094.8,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2013,325.8,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2014,325.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2015,325.6,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2016,341.6,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2017,355.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2018,372.3,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2019,409.3,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2020,374.3,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2021,334.7,bd,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2022,360.1,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2023,399.0,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2024,435.4,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2013,2321.6,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2014,2445.8,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2015,2534.2,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2016,2738.0,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2017,2859.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2018,2958.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2019,3091.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2020,2973.2,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2021,2873.1,b,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2022,3142.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2023,3229.3,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2024,3284.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2013,248.3,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2014,265.6,b,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2015,243.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2016,277.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2017,285.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2018,293.2,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2019,282.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2020,268.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2021,277.7,bd,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2022,300.4,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2023,304.1,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2024,295.3,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2013,382.0,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2014,396.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2015,412.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2016,427.3,,
