Series Name,"Series Code","Country Name","Country Code","Time","Time Code","Value"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","2013","YR2013","53297.3862901595"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","2014","YR2014","55153.3940182967"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","2015","YR2015","56849.4697923159"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","2016","YR2016","57976.628204291"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","2017","YR2017","60047.7190728307"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","2018","YR2018","62875.6661382728"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","2019","YR2019","65227.9565911035"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","2020","YR2020","64401.5074354209"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","2021","YR2021","71307.4017277218"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","2022","YR2022","77860.9112908848"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","2023","YR2023","82304.6204272866"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","2024","YR2024","85809.9003846359"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","2013","YR2013","39947.5369562562"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","2014","YR2014","41266.8197795309"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","2015","YR2015","42515.278865824"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","2016","YR2016","44085.2025586772"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","2017","YR2017","46113.0211677324"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","2018","YR2018","47212.2045190522"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","2019","YR2019","50064.9605582187"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","2020","YR2020","48230.0477027461"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","2021","YR2021","51004.4271714238"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","2022","YR2022","59021.5721805914"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","2023","YR2023","59911.3467663209"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","2024","YR2024","62009.4907765366"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","2013","YR2013","49622.0519614799"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","2014","YR2014","49751.3092860822"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","2015","YR2015","50956.6930942185"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","2016","YR2016","53162.2791598028"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","2017","YR2017","56037.567993606"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","2018","YR2018","58819.2609142584"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","2019","YR2019","62345.2538465433"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","2020","YR2020","62596.6302027524"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","2021","YR2021","68573.5648786446"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","2022","YR2022","78630.3599072098"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","2023","YR2023","81728.6904629268"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","2024","YR2024","86173.6290841738"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","2013","YR2013","32613.6891811474"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","2014","YR2014","33760.9555646369"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","2015","YR2015","35228.6333036223"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","2016","YR2016","37612.7188681342"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","2017","YR2017","39825.2498116292"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","2018","YR2018","41015.1565755187"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","2019","YR2019","44042.757577336"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","2020","YR2020","39327.8479269599"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","2021","YR2021","44251.6658222621"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","2022","YR2022","51398.9310403407"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","2023","YR2023","55682.2402603093"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","2024","YR2024","57965.2948138837"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Germany","DEU","2013","YR2013","45889.0173022052"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Germany","DEU","2014","YR2014","47938.7968210418"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Germany","DEU","2015","YR2015","48545.400721962"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Germany","DEU","2016","YR2016","51569.9016841199"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Germany","DEU","2017","YR2017","54110.2536648812"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Germany","DEU","2018","YR2018","56273.0405627017"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Germany","DEU","2019","YR2019","59270.7276496985"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Germany","DEU","2020","YR2020","58685.872699771"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Germany","DEU","2021","YR2021","62530.7653199239"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Germany","DEU","2022","YR2022","69048.9884036885"
