Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,United States,USA,95.2045288085938,95.2634735107422,95.3349685668945,95.5852432250977,94.9176025390625,96.0293731689453,97.6129471753246,96.4607696533203,95.2501678466797,96.4930725097656,96.503532409668,96.6203231811523
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,United Kingdom,GBR,99.8322906494141,99.8598480224609,..,..,99.7478179931641,..,..,99.8025970458984,99.8148498535156,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,Spain,ESP,72.3803522238448,73.7143478393555,74.8149490356445,75.7975234985352,79.193787831246,77.7223587036133,81.0112166290588,80.7694320678711,83.3149933359569,83.932488771269,84.2945705682212,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,Netherlands,NLD,89.4114608764648,89.3653717041016,89.4881210327148,89.7140426635742,91.2555195402836,90.3683166503906,91.9366758031883,91.2177810668945,90.9582104013994,91.1451951874545,90.2764267356421,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,Germany,DEU,96.6717910766602,96.7991485595703,96.7161178588867,96.5136413574219,96.351735105875,96.3322525024414,96.3561625677397,95.6803817749023,..,94.7800091310913,94.7810223403315,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,France,FRA,81.5009994506836,82.6331634521484,83.2034301757812,83.6858291625977,84.2147979736328,84.9328999371132,85.5956573486328,86.4647576771151,90.7347194200938,91.042855672505,91.6159036525416,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,China,CHN,..,..,..,..,..,..,..,72.4001388549805,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,Brazil,BRA,55.8442993164062,56.3307189941406,57.5709915161133,58.2031097412109,59.1219291687012,60.0145111083984,63,65.2,66.2,66.5,67.2,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,Belgium,BEL,81.5879364013672,82.3405303955078,84.3579177856445,84.7895202636719,86.5041732788086,87.3258293777923,88.4269638061523,88.2376237341186,88.5607173632664,88.7167430084043,88.857280524325,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,"Venezuela, RB",VEN,58.8,60.3,69.5971527099609,74.4302291870117,70.8813160615465,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,Switzerland,CHE,..,97.0206527709961,97.0939331054688,96.8901824951172,96.9631505375797,97.0852584838867,97.1908187866211,97.2358464399196,97.9603789765694,98.0615729035049,98.1784897668191,98.1873131956611
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,
