paese,anno,cancellazioni
Regno Unito,2013,3424
Regno Unito,2014,3170
Regno Unito,2015,4131
Regno Unito,2016,5661
Regno Unito,2017,4799
Regno Unito,2018,4601
Regno Unito,2019,7097
Regno Unito,2020,7869
Regno Unito,2021,4692
Regno Unito,2022,4377
Regno Unito,2023,4377
Regno Unito,2024,4696
Germania,2013,2026
Germania,2014,2559
Germania,2015,3453
Germania,2016,3751
Germania,2017,3704
Germania,2018,3832
Germania,2019,3093
Germania,2020,3672
Germania,2021,3159
Germania,2022,3934
Germania,2023,4417
Germania,2024,5393
Francia,2013,1658
Francia,2014,1624
Francia,2015,2177
Francia,2016,2040
Francia,2017,2343
Francia,2018,2695
Francia,2019,2403
Francia,2020,2735
Francia,2021,2315
Francia,2022,2838
Francia,2023,3089
Francia,2024,3625
Svizzera,2013,2427
Svizzera,2014,2397
Svizzera,2015,2652
Svizzera,2016,2624
Svizzera,2017,2393
Svizzera,2018,2336
Svizzera,2019,2127
Svizzera,2020,2605
Svizzera,2021,2433
Svizzera,2022,3079
Svizzera,2023,3874
Svizzera,2024,4206
Spagna,2013,1030
Spagna,2014,1007
Spagna,2015,1062
Spagna,2016,1357
Spagna,2017,1732
Spagna,2018,1853
Spagna,2019,1764
Spagna,2020,1849
Spagna,2021,1723
Spagna,2022,2047
Spagna,2023,3284
Spagna,2024,5588
Brasile,2013,880
Brasile,2014,969
Brasile,2015,1428
Brasile,2016,1635
Brasile,2017,2693
Brasile,2018,3630
Brasile,2019,2270
Brasile,2020,1198
Brasile,2021,663
Brasile,2022,840
Brasile,2023,933
Brasile,2024,1171
Stati Uniti d'America,2013,1376
Stati Uniti d'America,2014,1398
Stati Uniti d'America,2015,1391
Stati Uniti d'America,2016,1531
Stati Uniti d'America,2017,1521
Stati Uniti d'America,2018,1619
Stati Uniti d'America,2019,1526
Stati Uniti d'America,2020,1513
Stati Uniti d'America,2021,1362
Stati Uniti d'America,2022,1858
Stati Uniti d'America,2023,2224
Stati Uniti d'America,2024,2704
Belgio,2013,491
Belgio,2014,528
Belgio,2015,573
Belgio,2016,597
Belgio,2017,611
Belgio,2018,675
Belgio,2019,756
Belgio,2020,1058
Belgio,2021,930
Belgio,2022,1300
Belgio,2023,1728
Belgio,2024,2117
Paesi Bassi,2013,364
Paesi Bassi,2014,430
Paesi Bassi,2015,485
Paesi Bassi,2016,503
Paesi Bassi,2017,524
Paesi Bassi,2018,632
Paesi Bassi,2019,1195
Paesi Bassi,2020,1218
Paesi Bassi,2021,1182
Paesi Bassi,2022,1756
Paesi Bassi,2023,2030
Paesi Bassi,2024,2311
Australia,2013,365
Australia,2014,449
Australia,2015,467
Australia,2016,572
Australia,2017,641
Australia,2018,641
Australia,2019,526
Australia,2020,630
Australia,2021,510
Australia,2022,481
Australia,2023,680
Australia,2024,1008
Austria,2013,413
Austria,2014,395
Austria,2015,530
Austria,2016,508
Austria,2017,519
Austria,2018,485
Austria,2019,518
Austria,2020,624
Austria,2021,513
Austria,2022,789
Austria,2023,1024
Austria,2024,1108
Irlanda,2013,294
Irlanda,2014,335
Irlanda,2015,402
Irlanda,2016,577
Irlanda,2017,775
Irlanda,2018,769
Irlanda,2019,848
Irlanda,2020,720
Irlanda,2021,524
Irlanda,2022,623
Irlanda,2023,1121
Irlanda,2024,739
