DATAFLOW,LAST UPDATE,freq,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Germany,2013,45.1,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Germany,2014,45.2,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Germany,2015,45.3,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Germany,2016,45.4,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Germany,2017,45.4,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Germany,2018,45.3,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Germany,2019,45.2,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Germany,2020,44.7,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Germany,2021,44.3,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Germany,2022,44.1,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Germany,2023,43.5,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Germany,2024,43.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Spain,2013,37.2,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Spain,2014,37.3,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Spain,2015,35.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Spain,2016,35.8,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Spain,2017,35.8,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Spain,2018,35.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Spain,2019,35.9,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Spain,2020,34.7,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Spain,2021,36.0,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Spain,2022,36.1,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Spain,2023,36.0,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,Spain,2024,37.2,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,European Union - 28 countries (2013-2020),2013,39.4,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,European Union - 28 countries (2013-2020),2014,39.0,,
ESTAT:EARN_NT_TAXWEDGE(1.0),09/02/26 23:00:00,Annual,European Union - 28 countries (2013-2020),2015,38.4,,
