Country.Name,Country.Code,Time,ed_attain_low_sec,gini_index,labor_adv_edu,edu_exp_public,gdp_per_capita,cancellazioni
United States,USA,2013,95.2045288085938,40.9,74.971,NA,53297.3862901595,1376
United States,USA,2014,95.2634735107422,41.7,74.352,NA,55153.3940182967,1398
United States,USA,2015,95.3349685668945,41.5,73.844,91.3460311889648,56849.4697923159,1391
United States,USA,2016,95.5852432250977,41.3,73.56,92.6043090820312,57976.628204291,1531
United States,USA,2017,94.9176025390625,41.4,73.25,90.7703323364258,60047.7190728307,1521
United States,USA,2018,96.0293731689453,41.8,73.175,90.6240310668945,62875.6661382728,1619
United States,USA,2019,97.6129471753246,41.9,73.125,90.4247589111328,65227.9565911035,1526
United States,USA,2020,96.4607696533203,40,71.64,90.0018997192383,64401.5074354209,1513
United States,USA,2021,95.2501678466797,39.7,71.375,90.4010391235352,71307.4017277218,1362
United States,USA,2022,96.4930725097656,41.7,71.78,NA,77860.9112908848,1858
United States,USA,2023,96.503532409668,41.8,71.866,NA,82304.6204272866,2224
United States,USA,2024,96.6203231811523,41.8,71.592,NA,85809.9003846359,2704
United Kingdom,GBR,2013,99.8322906494141,32.7,84.075,97.3239669799805,39947.5369562562,3424
United Kingdom,GBR,2014,99.8598480224609,33.1,84.108,97.2889175415039,41266.8197795309,3170
United Kingdom,GBR,2017,99.7478179931641,32.6,84.02,97.4917297363281,46113.0211677324,4799
United Kingdom,GBR,2020,99.8025970458984,32.7,85.343,91.9917678833008,48230.0477027461,7869
United Kingdom,GBR,2021,99.8148498535156,32.4,85.45,92.3381271362305,51004.4271714238,4692
Spain,ESP,2013,72.3803522238448,36.2,82.273,94.1541900634766,32613.6891811474,1030
Spain,ESP,2014,73.7143478393555,36.1,81.024,94.714958190918,33760.9555646369,1007
Spain,ESP,2015,74.8149490356445,36.2,80.905,94.6510314941406,35228.6333036223,1062
Spain,ESP,2016,75.7975234985352,35.8,81.107,95.4447326660156,37612.7188681342,1357
Spain,ESP,2017,79.193787831246,34.7,79.89,94.8786926269531,39825.2498116292,1732
Spain,ESP,2018,77.7223587036133,34.7,80.124,94.9009094238281,41015.1565755187,1853
Spain,ESP,2019,81.0112166290588,34.3,79.405,94.7023162841797,44042.757577336,1764
