Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Italy,ITA,7.298,7.824,7.098,6.749,6.372,5.869,5.669,5.314,5.048,4.087,3.82,3.366,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Germany,DEU,2.408,2.471,2.263,2.179,1.99,1.906,1.871,2.544,2.349,1.956,2.004,2.528,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Brazil,BRA,1.392,1.297,4.725,5.912,6.424,6.178,6.16,6.717,6.95,4.659,3.924,3.596,3.215
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Belgium,BEL,4.921,4.67,4.592,4.204,3.728,3.162,2.83,3.25,3.309,3.025,2.858,3.246,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Netherlands,NLD,4.242,4.075,3.92,3.268,2.992,2.526,2.365,2.518,2.812,2.547,2.472,2.543,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Switzerland,CHE,3.308,3.507,3.68,3.251,3.798,3.499,3.229,3.509,3.334,3.01,3.07,3.414,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,United Kingdom,GBR,3.789,3.148,2.906,2.76,2.733,2.595,2.344,3.238,3.278,2.346,2.598,2.733,3.367
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,"Venezuela, RB",VEN,..,..,..,5.744,5.76,..,..,..,..,..,..,..,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,United States,USA,4.322,3.691,3.032,2.908,2.686,2.45,2.38,5.591,3.576,2.321,2.373,2.608,2.927
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,France,FRA,6.255,6.314,6.3,5.696,5.224,5.434,5.102,5.206,5.321,4.733,4.956,5.016,..
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Reference period,Aggregation method,Statistical concept and methodology,Development relevance,License URL
SL.UEM.ADVN.ZS,CC BY-4.0,Unemployment with advanced education (% of total labor force with advanced education),"The percentage of the labor force with an advanced level of education who are unemployed. Advanced education comprises short-cycle tertiary education, a bachelor’s degree or equivalent education level, a master’s degree or equivalent education level, or doctoral degree or equivalent education level according to the International Standard Classification of Education 2011 (ISCED 2011).","Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: March 30, 2026",Social Protection & Labor: Unemployment,WB_WDI,% of total labor force with advanced education,Annual,1970-2025,Weighted average,"Methodology: Labor force surveys are the preferred source of statistics on employment by educational attainment, since they provide information on both the labor market situation of individuals and their level of educational attainment. Such surveys can be designed to cover virtually the entire non- institutional population of a given country, all branches of economic activity, all sectors of the economy and all categories of workers, including the self-employed, contributing family workers, casual workers and multiple jobholders. In addition, such surveys generally provide an opportunity for the simultaneous measurement of the employed, the unemployed and persons outside the labor force (and thus, the working-age population) in a coherent framework. Other types of household surveys and population censuses could also be used as sources of data on employment by educational attainment. The information obtained from such sources may however be less reliable since they do not typically allow for detailed probing on the labor market activities of the respondents.
Statistical concept(s): The unemployment rate conveys the number of persons who are unemployed as a percent of the labour force (i.e., the employed plus the unemployed). The unemployed comprise all persons of working age who were: a) without work during the reference period, i.e. were not in paid employment or self-employment; b) currently available for work, i.e. were available for paid employment or self-employment during the reference period; and c) seeking work, i.e. had taken specific steps in a specified recent period to seek paid employment or self-employment. Data disaggregated by level of education are provided on the highest level of education completed, classified according to the International Standard Classification of Education (ISCED). Data may have been regrouped from national classifications, which may not be strictly compatible with ISCED.","Focusing on the educational characteristics of the unemployed can aid to shed light on how significant long-term events in a country, such as skill-based technological change, increased trade openness or shifts in the sectoral structure of the economy, alter the experience of high- and low-skilled workers in the labor market. The information provided can have important implications for both employment and education policy. To the extent that persons with low education levels are at a higher risk of becoming unemployed, the political reaction may be either to seek to increase their education level or to create more low-skilled occupations within the country. Alternatively, a higher share of unemployment among persons with higher education could indicate a lack of sufficient professional and high-level technical jobs. In many countries, qualified jobseekers are being forced to accept employment below their skill level. Where the supply of qualified workers outpaces the increase in the number of professional and technical employment opportunities, high levels of skills-related underemployment are inevitable. A possible consequence of the presence of highly educated unemployed in a country is the “brain drain”, whereby educated professionals migrate in order to find employment in other areas of the world.",https://datacatalog.worldbank.org/public-licenses#cc-by
