Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Italy,ITA,7.298,7.824,7.098,6.749,6.372,5.869,5.669,5.314,5.048,4.087,3.82,3.366,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Germany,DEU,2.408,2.471,2.263,2.179,1.99,1.906,1.871,2.544,2.349,1.956,2.004,2.528,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Brazil,BRA,1.392,1.297,4.725,5.912,6.424,6.178,6.16,6.717,6.95,4.659,3.924,3.596,3.215
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Belgium,BEL,4.921,4.67,4.592,4.204,3.728,3.162,2.83,3.25,3.309,3.025,2.858,3.246,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Netherlands,NLD,4.242,4.075,3.92,3.268,2.992,2.526,2.365,2.518,2.812,2.547,2.472,2.543,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Switzerland,CHE,3.308,3.507,3.68,3.251,3.798,3.499,3.229,3.509,3.334,3.01,3.07,3.414,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,United Kingdom,GBR,3.789,3.148,2.906,2.76,2.733,2.595,2.344,3.238,3.278,2.346,2.598,2.733,3.367
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,"Venezuela, RB",VEN,..,..,..,5.744,5.76,..,..,..,..,..,..,..,..
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,United States,USA,4.322,3.691,3.032,2.908,2.686,2.45,2.38,5.591,3.576,2.321,2.373,2.608,2.927
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,France,FRA,6.255,6.314,6.3,5.696,5.224,5.434,5.102,5.206,5.321,4.733,4.956,5.016,..
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,
