country,sex,edu_lfs,occ_1d,occ_other,skill_occ,overqualified,oecd,regionb,oecdb,fborn,number
AUS,1,1,0,,99,99,1,AFRI,0,1,62
AUS,1,1,1,,3,99,1,AFRI,0,1,293
AUS,1,1,2,,3,99,1,AFRI,0,1,83
AUS,1,1,3,,3,99,1,AFRI,0,1,489
AUS,1,1,4,,2,99,1,AFRI,0,1,240
AUS,1,1,5,,2,99,1,AFRI,0,1,196
AUS,1,1,6,,2,99,1,AFRI,0,1,425
AUS,1,1,7,,2,99,1,AFRI,0,1,895
AUS,1,1,8,,2,99,1,AFRI,0,1,1548
AUS,1,1,9,,1,99,1,AFRI,0,1,62
AUS,1,2,0,,99,99,1,AFRI,0,1,513
AUS,1,2,1,,3,99,1,AFRI,0,1,4678
AUS,1,2,2,,3,99,1,AFRI,0,1,2768
AUS,1,2,3,,3,99,1,AFRI,0,1,12665
AUS,1,2,4,,2,99,1,AFRI,0,1,3680
AUS,1,2,5,,2,99,1,AFRI,0,1,2511
AUS,1,2,6,,2,99,1,AFRI,0,1,3327
AUS,1,2,7,,2,99,1,AFRI,0,1,4914
AUS,1,2,8,,2,99,1,AFRI,0,1,6072
AUS,1,2,9,,1,99,1,AFRI,0,1,291
AUS,1,3,0,,99,99,1,AFRI,0,1,708
AUS,1,3,1,,3,0,1,AFRI,0,1,14526
AUS,1,3,2,,3,0,1,AFRI,0,1,29918
AUS,1,3,3,,3,0,1,AFRI,0,1,5246
AUS,1,3,4,,2,1,1,AFRI,0,1,5000
AUS,1,3,5,,2,1,1,AFRI,0,1,4693
AUS,1,3,6,,2,1,1,AFRI,0,1,2651
AUS,1,3,7,,2,1,1,AFRI,0,1,2951
AUS,1,3,8,,2,1,1,AFRI,0,1,2973
AUS,1,3,9,,1,1,1,AFRI,0,1,232
AUS,1,99,0,,99,99,1,AFRI,0,1,99
AUS,1,99,1,,3,99,1,AFRI,0,1,793
AUS,1,99,2,,3,99,1,AFRI,0,1,1106
AUS,1,99,3,,3,99,1,AFRI,0,1,737
AUS,1,99,4,,2,99,1,AFRI,0,1,614
AUS,1,99,5,,2,99,1,AFRI,0,1,324
AUS,1,99,6,,2,99,1,AFRI,0,1,343
AUS,1,99,7,,2,99,1,AFRI,0,1,735
AUS,1,99,8,,2,99,1,AFRI,0,1,782
AUS,1,99,9,,1,99,1,AFRI,0,1,176
AUS,2,1,0,,99,99,1,AFRI,0,1,20
AUS,2,1,1,,3,99,1,AFRI,0,1,147
AUS,2,1,2,,3,99,1,AFRI,0,1,113
AUS,2,1,3,,3,99,1,AFRI,0,1,75
AUS,2,1,4,,2,99,1,AFRI,0,1,854
AUS,2,1,5,,2,99,1,AFRI,0,1,759
AUS,2,1,6,,2,99,1,AFRI,0,1,767
AUS,2,1,7,,2,99,1,AFRI,0,1,93
AUS,2,1,8,,2,99,1,AFRI,0,1,1141
AUS,2,1,9,,1,99,1,AFRI,0,1,34
AUS,2,2,0,,99,99,1,AFRI,0,1,214
AUS,2,2,1,,3,99,1,AFRI,0,1,1821
AUS,2,2,2,,3,99,1,AFRI,0,1,2083
AUS,2,2,3,,3,99,1,AFRI,0,1,1312
AUS,2,2,4,,2,99,1,AFRI,0,1,7987
AUS,2,2,5,,2,99,1,AFRI,0,1,7474
AUS,2,2,6,,2,99,1,AFRI,0,1,4003
AUS,2,2,7,,2,99,1,AFRI,0,1,362
AUS,2,2,8,,2,99,1,AFRI,0,1,2483
AUS,2,2,9,,1,99,1,AFRI,0,1,190
AUS,2,3,0,,99,99,1,AFRI,0,1,453
AUS,2,3,1,,3,0,1,AFRI,0,1,6534
AUS,2,3,2,,3,0,1,AFRI,0,1,30548
AUS,2,3,3,,3,0,1,AFRI,0,1,1590
AUS,2,3,4,,2,1,1,AFRI,0,1,9051
AUS,2,3,5,,2,1,1,AFRI,0,1,10034
AUS,2,3,6,,2,1,1,AFRI,0,1,2622
AUS,2,3,7,,2,1,1,AFRI,0,1,220
AUS,2,3,8,,2,1,1,AFRI,0,1,1162
AUS,2,3,9,,1,1,1,AFRI,0,1,158
AUS,2,99,0,,99,99,1,AFRI,0,1,81
AUS,2,99,1,,3,99,1,AFRI,0,1,374
AUS,2,99,2,,3,99,1,AFRI,0,1,915
AUS,2,99,3,,3,99,1,AFRI,0,1,182
AUS,2,99,4,,2,99,1,AFRI,0,1,1620
AUS,2,99,5,,2,99,1,AFRI,0,1,1335
AUS,2,99,6,,2,99,1,AFRI,0,1,491
AUS,2,99,7,,2,99,1,AFRI,0,1,57
AUS,2,99,8,,2,99,1,AFRI,0,1,479
AUS,2,99,9,,1,99,1,AFRI,0,1,167
AUS,1,1,0,,99,99,1,ASIA,0,1,980
AUS,1,1,1,,3,99,1,ASIA,0,1,4821
AUS,1,1,2,,3,99,1,ASIA,0,1,445
AUS,1,1,3,,3,99,1,ASIA,0,1,15789
AUS,1,1,4,,2,99,1,ASIA,0,1,1697
AUS,1,1,5,,2,99,1,ASIA,0,1,1193
AUS,1,1,6,,2,99,1,ASIA,0,1,2753
AUS,1,1,7,,2,99,1,ASIA,0,1,10532
AUS,1,1,8,,2,99,1,ASIA,0,1,18083
AUS,1,1,9,,1,99,1,ASIA,0,1,953
AUS,1,2,0,,99,99,1,ASIA,0,1,2625
AUS,1,2,1,,3,99,1,ASIA,0,1,18303
AUS,1,2,2,,3,99,1,ASIA,0,1,10843
AUS,1,2,3,,3,99,1,ASIA,0,1,52682
AUS,1,2,4,,2,99,1,ASIA,0,1,14528
AUS,1,2,5,,2,99,1,ASIA,0,1,11219
AUS,1,2,6,,2,99,1,ASIA,0,1,16360
AUS,1,2,7,,2,99,1,ASIA,0,1,32057
AUS,1,2,8,,2,99,1,ASIA,0,1,41890
AUS,1,2,9,,1,99,1,ASIA,0,1,2651
AUS,1,3,0,,99,99,1,ASIA,0,1,4471
AUS,1,3,1,,3,0,1,ASIA,0,1,63109
AUS,1,3,2,,3,0,1,ASIA,0,1,165809
AUS,1,3,3,,3,0,1,ASIA,0,1,52506
AUS,1,3,4,,2,1,1,ASIA,0,1,25278
AUS,1,3,5,,2,1,1,ASIA,0,1,36609
AUS,1,3,6,,2,1,1,ASIA,0,1,28074
AUS,1,3,7,,2,1,1,ASIA,0,1,33626
AUS,1,3,8,,2,1,1,ASIA,0,1,34392
AUS,1,3,9,,1,1,1,ASIA,0,1,2112
AUS,1,99,0,,99,99,1,ASIA,0,1,674
AUS,1,99,1,,3,99,1,ASIA,0,1,3346
AUS,1,99,2,,3,99,1,ASIA,0,1,4482
AUS,1,99,3,,3,99,1,ASIA,0,1,5857
AUS,1,99,4,,2,99,1,ASIA,0,1,2234
AUS,1,99,5,,2,99,1,ASIA,0,1,1768
AUS,1,99,6,,2,99,1,ASIA,0,1,1942
AUS,1,99,7,,2,99,1,ASIA,0,1,4333
AUS,1,99,8,,2,99,1,ASIA,0,1,5416
AUS,1,99,9,,1,99,1,ASIA,0,1,1331
AUS,2,1,0,,99,99,1,ASIA,0,1,529
AUS,2,1,1,,3,99,1,ASIA,0,1,3392
AUS,2,1,2,,3,99,1,ASIA,0,1,517
AUS,2,1,3,,3,99,1,ASIA,0,1,3108
AUS,2,1,4,,2,99,1,ASIA,0,1,5896
AUS,2,1,5,,2,99,1,ASIA,0,1,3028
AUS,2,1,6,,2,99,1,ASIA,0,1,4946
AUS,2,1,7,,2,99,1,ASIA,0,1,2994
AUS,2,1,8,,2,99,1,ASIA,0,1,18559
AUS,2,1,9,,1,99,1,ASIA,0,1,658
AUS,2,2,0,,99,99,1,ASIA,0,1,1570
AUS,2,2,1,,3,99,1,ASIA,0,1,10187
AUS,2,2,2,,3,99,1,ASIA,0,1,10057
AUS,2,2,3,,3,99,1,ASIA,0,1,9404
AUS,2,2,4,,2,99,1,ASIA,0,1,35305
AUS,2,2,5,,2,99,1,ASIA,0,1,21669
AUS,2,2,6,,2,99,1,ASIA,0,1,22030
AUS,2,2,7,,2,99,1,ASIA,0,1,4731
AUS,2,2,8,,2,99,1,ASIA,0,1,29856
AUS,2,2,9,,1,99,1,ASIA,0,1,1760
AUS,2,3,0,,99,99,1,ASIA,0,1,3414
AUS,2,3,1,,3,0,1,ASIA,0,1,36324
AUS,2,3,2,,3,0,1,ASIA,0,1,159901
AUS,2,3,3,,3,0,1,ASIA,0,1,16225
AUS,2,3,4,,2,1,1,ASIA,0,1,59024
AUS,2,3,5,,2,1,1,ASIA,0,1,70349
AUS,2,3,6,,2,1,1,ASIA,0,1,30964
AUS,2,3,7,,2,1,1,ASIA,0,1,3379
AUS,2,3,8,,2,1,1,ASIA,0,1,24292
AUS,2,3,9,,1,1,1,ASIA,0,1,1802
AUS,2,99,0,,99,99,1,ASIA,0,1,435
AUS,2,99,1,,3,99,1,ASIA,0,1,2134
AUS,2,99,2,,3,99,1,ASIA,0,1,4471
AUS,2,99,3,,3,99,1,ASIA,0,1,1589
AUS,2,99,4,,2,99,1,ASIA,0,1,6763
AUS,2,99,5,,2,99,1,ASIA,0,1,4671
AUS,2,99,6,,2,99,1,ASIA,0,1,2922
AUS,2,99,7,,2,99,1,ASIA,0,1,738
AUS,2,99,8,,2,99,1,ASIA,0,1,5332
AUS,2,99,9,,1,99,1,ASIA,0,1,1124
AUS,1,1,0,,99,99,1,ASIA,1,1,15
AUS,1,1,1,,3,99,1,ASIA,1,1,70
AUS,1,1,2,,3,99,1,ASIA,1,1,14
AUS,1,1,3,,3,99,1,ASIA,1,1,275
AUS,1,1,4,,2,99,1,ASIA,1,1,65
AUS,1,1,5,,2,99,1,ASIA,1,1,15
AUS,1,1,6,,2,99,1,ASIA,1,1,62
AUS,1,1,7,,2,99,1,ASIA,1,1,46
AUS,1,1,8,,2,99,1,ASIA,1,1,347
AUS,1,1,9,,1,99,1,ASIA,1,1,18
AUS,1,2,0,,99,99,1,ASIA,1,1,166
AUS,1,2,1,,3,99,1,ASIA,1,1,1709
AUS,1,2,2,,3,99,1,ASIA,1,1,902
AUS,1,2,3,,3,99,1,ASIA,1,1,5422
AUS,1,2,4,,2,99,1,ASIA,1,1,1228
AUS,1,2,5,,2,99,1,ASIA,1,1,483
AUS,1,2,6,,2,99,1,ASIA,1,1,824
AUS,1,2,7,,2,99,1,ASIA,1,1,691
AUS,1,2,8,,2,99,1,ASIA,1,1,3387
AUS,1,2,9,,1,99,1,ASIA,1,1,200
AUS,1,3,0,,99,99,1,ASIA,1,1,235
AUS,1,3,1,,3,0,1,ASIA,1,1,3996
AUS,1,3,2,,3,0,1,ASIA,1,1,7253
AUS,1,3,3,,3,0,1,ASIA,1,1,4435
AUS,1,3,4,,2,1,1,ASIA,1,1,1448
AUS,1,3,5,,2,1,1,ASIA,1,1,1263
AUS,1,3,6,,2,1,1,ASIA,1,1,935
AUS,1,3,7,,2,1,1,ASIA,1,1,694
AUS,1,3,8,,2,1,1,ASIA,1,1,2262
AUS,1,3,9,,1,1,1,ASIA,1,1,103
AUS,1,99,0,,99,99,1,ASIA,1,1,30
AUS,1,99,1,,3,99,1,ASIA,1,1,249
AUS,1,99,2,,3,99,1,ASIA,1,1,192
AUS,1,99,3,,3,99,1,ASIA,1,1,523
