Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Argentina,ARG,..,52.968,54.247,53.899,54.101,54.355,49.602,55.085,57.3,58.463,57.439,57.489
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Belgium,BEL,..,48.802,49.001,49.554,50.48,51.005,50.422,50.671,51.536,51.39,51.429,51.068
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Brazil,BRA,..,58.641,56.845,56.271,56.549,57.142,52.195,54.238,57.663,57.915,59.031,59.37
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,China,CHN,..,71.772,65.739,65.295,64.887,64.307,62.435,64.056,62.523,62.756,61.931,61.572
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,France,FRA,..,49.652,49.828,50.059,50.313,50.316,49.925,51.179,51.758,51.835,51.544,51.172
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Germany,DEU,..,53.398,57.932,58.366,58.8,59.368,58.131,58.224,58.926,59.175,58.849,58.323
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Italy,ITA,..,42.638,43.418,43.952,44.392,44.688,43.785,43.842,45.078,46.002,46.365,46.151
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Netherlands,NLD,..,65.956,62.299,62.928,63.838,64.453,64.002,63.733,64.858,65.327,64.966,64.643
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Spain,ESP,..,45.599,46.873,48.049,48.842,49.499,47.641,48.73,50.068,50.574,51.249,51.453
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,United States,USA,..,63.506,59.391,59.824,60.153,60.543,56.598,58.211,59.538,59.821,59.467,59.114
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Venezuela, RB",VEN,..,55.057,57.93,56.881,55.011,51.914,44.55,45.195,48.01,48.589,49.28,49.171
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,United Kingdom,GBR,..,57.928,59.344,59.603,60.023,60.335,59.775,58.959,59.573,59.323,58.871,58.457
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Switzerland,CHE,..,65.507,65.286,65.25,65.343,65.321,64.709,64.341,64.313,64.727,64.189,63.494
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,
