Series Name,"Series Code","Country Name","Country Code","Time","Time Code","Value"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United States","USA","2013","YR2013","95.2045288085938"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United States","USA","2014","YR2014","95.2634735107422"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United States","USA","2015","YR2015","95.3349685668945"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United States","USA","2016","YR2016","95.5852432250977"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United States","USA","2017","YR2017","94.9176025390625"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United States","USA","2018","YR2018","96.0293731689453"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United States","USA","2019","YR2019","97.6129471753246"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United States","USA","2020","YR2020","96.4607696533203"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United States","USA","2021","YR2021","95.2501678466797"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United States","USA","2022","YR2022","96.4930725097656"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United States","USA","2023","YR2023","96.503532409668"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United States","USA","2024","YR2024","96.6203231811523"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United Kingdom","GBR","2013","YR2013","99.8322906494141"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United Kingdom","GBR","2014","YR2014","99.8598480224609"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","United Kingdom","GBR","2015","YR2015","NA"
